sent_at,company,to,subject
2026-05-07T01:27:19.170210+00:00,METROPOLITAN CAPITAL REAL ESTATE - SOLE PROPRIETORSHIP L.L.C.,hussam@abu-dhabi.realestate,Quick idea for valuation leads at METROPOLITAN CAPITAL REAL ESTATE - SOLE PROPRIETORSHIP L.L.C.
2026-05-07T01:28:23.201291+00:00,AGCO PROPERTIES,Fouad@agcoproprties.com,Quick idea for valuation leads at AGCO PROPERTIES
2026-05-07T01:29:28.621150+00:00,Blue Palace Real Estate,info@bluepalacere.com,Quick idea for valuation leads at Blue Palace Real Estate
2026-05-07T01:30:32.342154+00:00,Luxven Real Estate,muhammad@luxvenrealestate.com,Quick idea for valuation leads at Luxven Real Estate
2026-05-07T01:31:36.329448+00:00,Awtan Real Estate LLC,ibrahim@awtan.ae,Quick idea for valuation leads at Awtan Real Estate LLC
2026-05-07T01:32:39.667264+00:00,ELITE HOME REAL ESTATE L.L.C S.P,fawzi.farouk@elitehomeuae.com,Quick idea for valuation leads at ELITE HOME REAL ESTATE L.L.C S.P
2026-05-07T01:33:42.908469+00:00,ALH PROPERTIES,anthony.tsang@alhprops.com,Quick idea for valuation leads at ALH PROPERTIES
2026-05-07T01:34:46.201867+00:00,fam Real Estate Broker - Dubai Marina,mishel@famproperties.com,Quick idea for valuation leads at fam Real Estate Broker - Dubai Marina
2026-05-07T01:35:50.965487+00:00,Sky View Real Estate Brokers,bana@skyviewdubai.com,Quick idea for valuation leads at Sky View Real Estate Brokers
2026-05-07T01:36:55.334110+00:00,Royal Manor Real Estate Broker,info@royalmanor.ae,Quick idea for valuation leads at Royal Manor Real Estate Broker
2026-05-07T01:37:59.306755+00:00,Savills Dubai,joana.anjos@savills.me,Quick idea for valuation leads at Savills Dubai
2026-05-07T16:29:16.018658+00:00,The Network,george.h@thenetwork.ae,Quick idea for valuation leads at The Network
2026-05-07T16:30:04.663101+00:00,Alarfeen Real Estate,pirimtiazhussain@alarfeenrealestate.ae,Quick idea for valuation leads at Alarfeen Real Estate
2026-05-07T16:30:53.712488+00:00,WHITEWILL REAL ESTATE BROKERS L.L.C,D.panchenko@whitewill.ae,Quick idea for valuation leads at WHITEWILL REAL ESTATE BROKERS L.L.C
2026-05-07T16:31:42.560228+00:00,RUSH HOUR REAL ESTATE BROKERAGE,Dmitry.rushika@rush-hour.ae,Quick idea for valuation leads at RUSH HOUR REAL ESTATE BROKERAGE
2026-05-07T16:32:30.895994+00:00,Rosenheim Luxury Properties,igor@rosenheimgroup.com,Quick idea for valuation leads at Rosenheim Luxury Properties
2026-05-07T16:33:19.651743+00:00,Osac Properties L.L.C,contact@osacbusinessgroup.com,Quick idea for valuation leads at Osac Properties L.L.C
2026-05-07T16:34:08.487641+00:00,Sam & Co Prime Properties L.L.C,mahmoud@samandco.ae,Quick idea for valuation leads at Sam & Co Prime Properties L.L.C
2026-05-07T16:34:57.028340+00:00,SANDCASTLE PROPERTIES LLC,arham@sandcastle.ae,Quick idea for valuation leads at SANDCASTLE PROPERTIES LLC
2026-05-07T16:35:45.361846+00:00,PSI- Yas Branch,l.sales1@psinv.pro,Quick idea for valuation leads at PSI- Yas Branch
2026-05-07T16:36:33.902723+00:00,Luxbridge International Realty,irina@luxbridgerealty.com,Quick idea for valuation leads at Luxbridge International Realty
2026-05-07T16:37:22.329769+00:00,Blue Lagoons Real Estate,liz@bluelagoonsrealestate.com,Quick idea for valuation leads at Blue Lagoons Real Estate
2026-05-07T16:38:10.574695+00:00,ORLA PROPERTIES L.L.C,m.alderaawi@orlaproperties.com,Quick idea for valuation leads at ORLA PROPERTIES L.L.C
2026-05-07T16:38:58.910379+00:00,3S Real Estate Brokers,ahsan@3sbrokers.com,Quick idea for valuation leads at 3S Real Estate Brokers
2026-05-07T16:39:47.006013+00:00,DNL Properties LLC,rajesh@dnl.ae,Quick idea for valuation leads at DNL Properties LLC
2026-05-07T16:40:35.478329+00:00,Sky View Real Estate Brokers - Hessa St,laveesh@skyviewre.ae,Quick idea for valuation leads at Sky View Real Estate Brokers - Hessa St
2026-05-07T16:41:42.575682+00:00,Arabian Estates,charlie.w@arabianestates.ae,Quick idea for valuation leads at Arabian Estates
2026-05-07T16:42:30.465334+00:00,HARBOR AND CROWN REAL ESTATE L.L.C,mohamed.md@hcrealestate.ae,Quick idea for valuation leads at HARBOR AND CROWN REAL ESTATE L.L.C
2026-05-07T16:43:18.678928+00:00,FIDES PROPERTIES,fahad@fidesproperties.ae,Quick idea for valuation leads at FIDES PROPERTIES
2026-05-07T16:44:07.050921+00:00,Phoenix Homes Real Estate Brokers LLC,mb@phoenixhomes.ae,Quick idea for valuation leads at Phoenix Homes Real Estate Brokers LLC
2026-05-07T16:44:55.384658+00:00,THRIVESTATE SQUARE REAL ESTATE,charliesimmonds@thrivestate.io,Quick idea for valuation leads at THRIVESTATE SQUARE REAL ESTATE
2026-05-07T16:45:44.438120+00:00,BILLIONAIRE HOMES REAL ESTATE L.LC.,S.yousuf@billionaire-homes.com,Quick idea for valuation leads at BILLIONAIRE HOMES REAL ESTATE L.LC.
2026-05-07T16:46:32.771406+00:00,GHADERI REALTY L.L.C,Jessica@ghaderiestate.com,Quick idea for valuation leads at GHADERI REALTY L.L.C
2026-05-07T16:47:20.865964+00:00,C B A REAL ESTATE L.L.C,zain.r@cbaestate.com,Quick idea for valuation leads at C B A REAL ESTATE L.L.C
2026-05-07T16:48:09.341875+00:00,R N S REAL ESTATE BROKERAGE L.L.C,nikhil@rnsrealty.com,Quick idea for valuation leads at R N S REAL ESTATE BROKERAGE L.L.C
2026-05-07T16:48:57.681601+00:00,LUXURY ONE REAL ESTATE L.L.C,listings@l1re.com,Quick idea for valuation leads at LUXURY ONE REAL ESTATE L.L.C
2026-05-07T16:49:46.215912+00:00,KATAL PROPERTY INVESTEMENT - L.L.C,m.khateeb@katal.ae,Quick idea for valuation leads at KATAL PROPERTY INVESTEMENT - L.L.C
2026-05-07T16:50:34.654562+00:00,TurnKey Properties,harn@turnkeyproperties.ae,Quick idea for valuation leads at TurnKey Properties
2026-05-07T16:51:23.092374+00:00,EQUITY REAL ESTATES L.L.C,rhiannon@equitydxb.com,Quick idea for valuation leads at EQUITY REAL ESTATES L.L.C
2026-05-07T16:52:12.144442+00:00,Xsite Real Estate Broker,rehan@xsite.ae,Quick idea for valuation leads at Xsite Real Estate Broker
2026-05-07T16:53:00.685204+00:00,Gold Mark Real Estate,ds@goldmark.ae,Quick idea for valuation leads at Gold Mark Real Estate
